,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,2020-10-25,82,-23.12,-134.97,23.61,10.08
1,Mar del Plata,90,AR,2020-10-25,100,-38.0,-57.56,16.11,1.36
2,Brigantine,90,US,2020-10-25,93,39.41,-74.36,12.78,3.6
3,Tuatapere,96,NZ,2020-10-25,57,-46.13,167.68,12.22,3.13
4,Katsuura,75,JP,2020-10-25,62,35.13,140.3,17.22,3.1
5,Kruisfontein,100,ZA,2020-10-25,96,-34.0,24.73,16.11,0.89
6,Atuona,2,PF,2020-10-25,75,-9.8,-139.03,26.07,9.25
7,Punta Arenas,75,CL,2020-10-25,81,-53.15,-70.92,7.0,1.0
8,Tazovsky,4,RU,2020-10-25,95,67.47,78.7,-14.99,3.69
9,Upernavik,65,GL,2020-10-25,76,72.79,-56.15,-10.05,2.18
10,Airai,97,TL,2020-10-25,74,-8.93,125.41,21.86,0.76
11,Tura,1,IN,2020-10-25,95,25.52,90.22,20.2,0.9
12,Praia da Vitória,75,PT,2020-10-25,82,38.73,-27.07,17.78,0.2
13,Bambous Virieux,75,MU,2020-10-25,88,-20.34,57.76,22.78,8.2
14,Gazojak,4,TM,2020-10-25,44,41.19,61.4,10.5,4.35
15,Cap Malheureux,69,MU,2020-10-25,75,-19.98,57.61,22.78,4.02
16,Tasiilaq,100,GL,2020-10-25,97,65.61,-37.64,0.0,5.7
17,Mitú,100,CO,2020-10-25,93,1.2,-70.17,23.98,0.83
18,Bluff,75,NZ,2020-10-25,57,-46.6,168.33,12.22,3.13
19,Athabasca,54,CA,2020-10-25,87,54.72,-113.29,-4.79,3.1
20,Sola,90,VU,2020-10-25,88,-13.88,167.55,27.0,8.12
21,Cape Town,0,ZA,2020-10-25,77,-33.93,18.42,16.0,6.2
22,Sitka,90,US,2020-10-25,86,57.05,-135.33,5.0,7.2
23,Palu,100,ID,2020-10-25,72,-0.89,119.87,27.8,0.59
24,Constitución,0,CL,2020-10-25,74,-35.33,-72.42,10.56,6.34
25,Howard Springs,40,AU,2020-10-25,66,-12.5,131.05,31.11,1.5
26,Davila,75,PH,2020-10-25,83,18.47,120.58,27.0,4.1
27,Nuuk,100,GL,2020-10-25,73,64.18,-51.72,-4.0,4.6
28,Khatanga,95,RU,2020-10-25,95,71.97,102.5,-14.39,4.28
29,Hobart,75,AU,2020-10-25,50,-42.88,147.33,13.89,5.1
30,Chui,100,UY,2020-10-25,89,-33.7,-53.46,19.17,5.74
31,Vaini,90,TO,2020-10-25,88,-21.2,-175.2,23.0,5.7
32,Hamilton,90,US,2020-10-25,66,39.18,-84.53,12.0,2.1
33,Yellowknife,75,CA,2020-10-25,79,62.46,-114.35,-2.0,1.0
34,Mataura,95,NZ,2020-10-25,57,-46.19,168.86,12.22,3.13
35,Port Alfred,92,ZA,2020-10-25,86,-33.59,26.89,17.29,1.29
36,Pandan,100,PH,2020-10-25,84,14.05,124.17,26.95,7.91
